-DOCSTART- -X- O 
satellite -X- I-O O
communications -X- I-O O
systems -X- I-O O
and -X- I-O O
what -X- I-O O
their -X- I-O O
motivations -X- I-O O
have -X- I-O O
been -X- I-O O
for -X- I-O O
causing -X- I-O O
such -X- I-O O
disruption -X- I-O O
. -X- I-O O
Building -X- I-O O
on -X- I-O O
this -X- I-O O
foundation -X- I-O O

we -X- I-O O
\u2019ll -X- I-O O
present -X- I-O O
modern -X- I-O O
evolutions -X- I-O O
of -X- I-O O
these -X- I-O O
attack -X- I-O O
strategies -X- I-O O
which -X- I-O O
can -X- I-O O
threaten -X- I-O O
next -X- I-O O
- -X- I-O O
generation -X- I-O O
space -X- I-O O
missions -X- I-O O
. -X- I-O O
From -X- I-O O
jamming -X- I-O O

to -X- I-O O
spoofing -X- I-O O

to -X- I-O O
signal -X- I-O B-EXPLOITS
hijacking -X- I-O L-EXPLOITS

we -X- I-O O
\u2019ll -X- I-O O
see -X- I-O O
how -X- I-O O
radio -X- I-O O
links -X- I-O O
represent -X- I-O O
a -X- I-O O
key -X- I-O O
attack -X- I-O O
surface -X- I-O O
for -X- I-O O
space -X- I-O O
platforms -X- I-O O
and -X- I-O O
how -X- I-O O
technological -X- I-O O
developments -X- I-O O
make -X- I-O O
these -X- I-O O
attacks -X- I-O O
ever -X- I-O O
more -X- I-O O
accessible -X- I-O O
and -X- I-O O
affordable -X- I-O O
. -X- I-O O
We -X- I-O O
\u2019ll -X- I-O O
simulate -X- I-O O
strategies -X- I-O O
attackers -X- I-O O
may -X- I-O O
use -X- I-O O
to -X- I-O O
cause -X- I-O O
disruption -X- I-O O
in -X- I-O O
key -X- I-O O
space -X- I-O O
communications -X- I-O O
links -X- I-O O
and -X- I-O O
even -X- I-O O
model -X- I-O O
attacks -X- I-O O
which -X- I-O O
may -X- I-O O
undermine -X- I-O O
critical -X- I-O O
safety -X- I-O O
controls -X- I-O O
involved -X- I-O O
in -X- I-O O
rocket -X- I-O O
launches -X- I-O O
. -X- I-O O
The -X- I-O O
presentation -X- I-O O
will -X- I-O O
conclude -X- I-O O
with -X- I-O O
a -X- I-O O
discussion -X- I-O O
of -X- I-O O
strategies -X- I-O O
which -X- I-O O
can -X- I-O O
defend -X- I-O O
against -X- I-O O
many -X- I-O O
of -X- I-O O
these -X- I-O O
attacks -X- I-O O
. -X- I-O O
While -X- I-O O
this -X- I-O O
talk -X- I-O O
includes -X- I-O O
technical -X- I-O O
components -X- I-O O

it -X- I-O O
is -X- I-O O
intended -X- I-O O
to -X- I-O O
be -X- I-O O
accessible -X- I-O O
to -X- I-O O
all -X- I-O O
audiences -X- I-O O
and -X- I-O O
does -X- I-O O
not -X- I-O O
assume -X- I-O O
any -X- I-O O
prior -X- I-O O
background -X- I-O O
in -X- I-O O
radio -X- I-O O
communications -X- I-O O

astrodynamics -X- I-O O

or -X- I-O O
aerospace -X- I-O O
engineering -X- I-O O
. -X- I-O O
The -X- I-O O
hope -X- I-O O
is -X- I-O O
to -X- I-O O
provide -X- I-O O
a -X- I-O O
launchpad -X- I-O O
for -X- I-O O
researchers -X- I-O O
across -X- I-O O
the -X- I-O O
security -X- I-O O
community -X- I-O O
to -X- I-O O
contribute -X- I-O O
to -X- I-O O
protecting -X- I-O O
critical -X- I-O O
infrastructure -X- I-O O
in -X- I-O O
space -X- I-O O
and -X- I-O O
beyond -X- I-O O
. -X- I-O O
Malware -X- I-O O
continues -X- I-O O
to -X- I-O O
advance -X- I-O O
in -X- I-O O
sophistication -X- I-O O
. -X- I-O O
Well -X- I-O O
- -X- I-O O
engineered -X- I-O O
malware -X- I-O O
can -X- I-O O
obfuscate -X- I-O O
itself -X- I-O O
from -X- I-O O
the -X- I-O O
user -X- I-O O
and -X- I-O O
the -X- I-O O
OS -X- I-O O
. -X- I-O O
Volatile -X- I-O O
memory -X- I-O O
is -X- I-O O
the -X- I-O O
unique -X- I-O O
structure -X- I-O O
malware -X- I-O O
can -X- I-O O
not -X- I-O O
evade -X- I-O O
. -X- I-O O
I -X- I-O O
have -X- I-O O
engineered -X- I-O O
a -X- I-O O
new -X- I-O O
construct -X- I-O O
for -X- I-O O
memory -X- I-O O
analysis -X- I-O O
and -X- I-O O
a -X- I-O O
new -X- I-O O
open -X- I-O O
- -X- I-O O
source -X- I-O O
tool -X- I-O O
that -X- I-O O
automates -X- I-O O
memory -X- I-O O
analysis -X- I-O O

correlation -X- I-O O

and -X- I-O O
user -X- I-O O
- -X- I-O O
interaction -X- I-O O
to -X- I-O O
increase -X- I-O O
investigation -X- I-O O
accuracy -X- I-O O

reduce -X- I-O O
analysis -X- I-O O
time -X- I-O O
and -X- I-O O
workload -X- I-O O

and -X- I-O O
better -X- I-O O
detect -X- I-O O
malware -X- I-O O
presence -X- I-O O
from -X- I-O O
memory -X- I-O O
. -X- I-O O
This -X- I-O O
workshop -X- I-O O
introduces -X- I-O O
a -X- I-O O
new -X- I-O O
visualization -X- I-O O
construct -X- I-O O
that -X- I-O O
creates -X- I-O O
the -X- I-O O
ability -X- I-O O
to -X- I-O O
interact -X- I-O O
with -X- I-O O
memory -X- I-O O
analysis -X- I-O O
artifacts -X- I-O O
. -X- I-O O
We -X- I-O O
will -X- I-O O
cover -X- I-O O
how -X- I-O O
to -X- I-O O
conducted -X- I-O O
advanced -X- I-O O
memory -X- I-O O
analysis -X- I-O O
utilizing -X- I-O O
this -X- I-O O
brand -X- I-O O
new -X- I-O O
tool -X- I-O O
that -X- I-O O
will -X- I-O O
greatly -X- I-O O
enhance -X- I-O O
the -X- I-O O
analysis -X- I-O O
process -X- I-O O
. -X- I-O O
Additionally -X- I-O O

we -X- I-O O
will -X- I-O O
learn -X- I-O O
how -X- I-O O
to -X- I-O O
use -X- I-O O
new -X- I-O O
Data -X- I-O O
XREF -X- I-O O
and -X- I-O O
System -X- I-O O
Manifest -X- I-O O
features -X- I-O O
in -X- I-O O
this -X- I-O O
workshop -X- I-O O
. -X- I-O O
Data -X- I-O O
XREF -X- I-O O
provides -X- I-O O
an -X- I-O O
index -X- I-O O
and -X- I-O O
memory -X- I-O O
context -X- I-O O
detailing -X- I-O O
how -X- I-O O
your -X- I-O O
search -X- I-O O
data -X- I-O O
is -X- I-O O
coupled -X- I-O O
with -X- I-O O
processes -X- I-O O

modules -X- I-O O

and -X- I-O O
events -X- I-O O
captured -X- I-O O
in -X- I-O O
memory -X- I-O O
. -X- I-O O
The -X- I-O O
System -X- I-O O
Manifest -X- I-O O
distills -X- I-O O
the -X- I-O O
analysis -X- I-O O
data -X- I-O O
to -X- I-O O
create -X- I-O O
a -X- I-O O
new -X- I-O O
memory -X- I-O O
analysis -X- I-O O
snapshot -X- I-O O
and -X- I-O O
precise -X- I-O O
identification -X- I-O O
of -X- I-O O
malicious -X- I-O O
artifacts -X- I-O O
detectable -X- I-O O
from -X- I-O O
malware -X- I-O O
execution -X- I-O O
especially -X- I-O O
useful -X- I-O O
for -X- I-O O
exploit -X- I-O O
dev -X- I-O O
and -X- I-O O
malware -X- I-O O
analysis -X- I-O O
! -X- I-O O
This -X- I-O O
talk -X- I-O O
is -X- I-O O
perfect -X- I-O O
if -X- I-O O
you -X- I-O O
have -X- I-O O
conducted -X- I-O O
memory -X- I-O O
analysis -X- I-O O
before -X- I-O O
and -X- I-O O
understand -X- I-O O
the -X- I-O O
pain -X- I-O O
it -X- I-O O
is -X- I-O O
to -X- I-O O
conduct -X- I-O O
this -X- I-O O
type -X- I-O O
of -X- I-O O
analysis -X- I-O O
by -X- I-O O
hand -X- I-O O
. -X- I-O O
In -X- I-O O
this -X- I-O O
workshop -X- I-O O

we -X- I-O O
will -X- I-O O
work -X- I-O O
with -X- I-O O
a -X- I-O O
new -X- I-O O
revolutionary -X- I-O O
tool -X- I-O O
to -X- I-O O
automate -X- I-O O

correlate -X- I-O O

and -X- I-O O
enrich -X- I-O O
memory -X- I-O O
analysis -X- I-O O
saving -X- I-O O
you -X- I-O O
hours -X- I-O O
of -X- I-O O
analysis -X- I-O O
time -X- I-O O
. -X- I-O O
This -X- I-O O
work -X- I-O O
shop -X- I-O O
exposes -X- I-O O
participants -X- I-O O
to -X- I-O O
capture -X- I-O O
- -X- I-O O
the -X- I-O O
- -X- I-O O
flag -X- I-O O
memory -X- I-O O
analysis -X- I-O O
challenges -X- I-O O
utilizing -X- I-O O
the -X- I-O O
new -X- I-O O
Xavier -X- I-O O
Memory -X- I-O O
Analysis -X- I-O O
Framework -X- I-O O
and -X- I-O O
concludes -X- I-O O
with -X- I-O O
a -X- I-O O
culminating -X- I-O O
capstone -X- I-O O
exercise -X- I-O O
at -X- I-O O
the -X- I-O O
end -X- I-O O
. -X- I-O O
Participants -X- I-O U-PER
will -X- I-O O
walk -X- I-O O
away -X- I-O O
with -X- I-O O
advanced -X- I-O O
memory -X- I-O O
analysis -X- I-O O
capabilities -X- I-O O
including -X- I-O O
how -X- I-O O
to -X- I-O O
recognize -X- I-O O
and -X- I-O O
handle -X- I-O O
various -X- I-O O
forms -X- I-O O
of -X- I-O O
advance -X- I-O O
code -X- I-O O
injection -X- I-O O
and -X- I-O O
rootkit -X- I-O B-EXPLOITS
hooking -X- I-O L-EXPLOITS
techniques -X- I-O O
from -X- I-O O
computer -X- I-O O
memory -X- I-O O
. -X- I-O O
