-DOCSTART- -X- O
malicious, -X- I-O O
is -X- I-O O
manipulated -X- I-O O
or -X- I-O O
abused -X- I-O O
for -X- I-O O
the -X- I-O O
sake -X- I-O O
of -X- I-O O
evading -X- I-O O
defenses -X- I-O O
and -X- I-O O
observation. -X- I-O O
This -X- I-O O
may -X- I-O O
include -X- I-O O
manipulating -X- I-O O
file -X- I-O O
metadata, -X- I-O O
tricking -X- I-O O
users -X- I-O O
into -X- I-O O
misidentifying -X- I-O O
the -X- I-O O
file -X- I-O O
type, -X- I-O O
and -X- I-O O
giving -X- I-O O
legitimate -X- I-O O
task -X- I-O O
or -X- I-O O
service -X- I-O O
names. -X- I-O O
Renaming -X- I-O O
abusable -X- I-O O
system -X- I-O O
utilities -X- I-O O
to -X- I-O O
evade -X- I-O O
security -X- I-O O
monitoring -X- I-O O
is -X- I-O O
also -X- I-O O
a -X- I-O O
form -X- I-O O
of -X- I-O O
[Masquerading](T1036).(Citation: -X- I-O B-EXPLOITS
LOLBAS -X- I-O O
Main -X- I-O O
Site) -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
attempt -X- I-O O
to -X- I-O O
identify -X- I-O O
the -X- I-O O
primary -X- I-O O
user, -X- I-O O
currently -X- I-O O
logged -X- I-O O
in -X- I-O O
user, -X- I-O O
set -X- I-O O
of -X- I-O O
users -X- I-O O
that -X- I-O O
commonly -X- I-O O
uses -X- I-O O
a -X- I-O O
system, -X- I-O O
or -X- I-O O
whether -X- I-O O
a -X- I-O O
user -X- I-O O
is -X- I-O O
actively -X- I-O O
using -X- I-O O
the -X- I-O O
system. -X- I-O O
They -X- I-O O
may -X- I-O O
do -X- I-O O
this, -X- I-O O
for -X- I-O O
example, -X- I-O O
by -X- I-O O
retrieving -X- I-O O
account -X- I-O O
usernames -X- I-O O
or -X- I-O O
by -X- I-O O
using -X- I-O O
[OS -X- I-O O
Credential -X- I-O O
Dumping](T1003). -X- I-O O
The -X- I-O O
information -X- I-O O
may -X- I-O O
be -X- I-O O
collected -X- I-O O
in -X- I-O O
a -X- I-O O
number -X- I-O O
of -X- I-O O
different -X- I-O O
ways -X- I-O O
using -X- I-O O
other -X- I-O O
Discovery -X- I-O O
techniques, -X- I-O O
because -X- I-O O
user -X- I-O O
and -X- I-O O
username -X- I-O O
details -X- I-O O
are -X- I-O O
prevalent -X- I-O O
throughout -X- I-O O
a -X- I-O O
system -X- I-O O
and -X- I-O O
include -X- I-O O
running -X- I-O O
process -X- I-O O
ownership, -X- I-O O
file/directory -X- I-O O
ownership, -X- I-O O
session -X- I-O O
information, -X- I-O O
and -X- I-O O
system -X- I-O O
logs. -X- I-O O
Adversaries -X- I-O O
may -X- I-O O
use -X- I-O O
the -X- I-O O
information -X- I-O O
from -X- I-O O
[System -X- I-O O
Owner/User -X- I-O O
Discovery](T1033) -X- I-O O
during -X- I-O O
automated -X- I-O O
discovery -X- I-O O
to -X- I-O O
shape -X- I-O O
follow-on -X- I-O O
behaviors, -X- I-O O
including -X- I-O O
whether -X- I-O O
or -X- I-O O
not -X- I-O O
the -X- I-O O
adversary -X- I-O O
fully -X- I-O O
infects -X- I-O O
the -X- I-O O
target -X- I-O O
and/or -X- I-O O
attempts -X- I-O O
specific -X- I-O O
actions. -X- I-O O
Various -X- I-O O
utilities -X- I-O O
and -X- I-O O
commands -X- I-O O
may -X- I-O O
acquire -X- I-O O
this -X- I-O O
information, -X- I-O O
including -X- I-O O
`whoami`. -X- I-O B-COMMANDS
In -X- I-O O
macOS -X- I-O B-DEVICES
and -X- I-O O
Linux, -X- I-O B-DEVICES
the -X- I-O O
currently -X- I-O O
logged -X- I-O O
in -X- I-O O
user -X- I-O O
can -X- I-O O
be -X- I-O O
identified -X- I-O O
with -X- I-O O
`w` -X- I-O O
and -X- I-O O
`who`. -X- I-O O
On -X- I-O O
macOS -X- I-O O
the -X- I-O O
`dscl -X- I-O B-COMMANDS
. -X- I-O I-COMMANDS
list -X- I-O I-COMMANDS
/Users -X- I-O I-COMMANDS
| -X- I-O I-COMMANDS
grep -X- I-O I-COMMANDS
-v -X- I-O I-COMMANDS
'I-O'` -X- I-O I-COMMANDS
command -X- I-O O
can -X- I-O O
also -X- I-O O
be -X- I-O O
used -X- I-O O
to -X- I-O O
enumerate -X- I-O O
user -X- I-O O
accounts. -X- I-O O
Environment -X- I-O O
variables, -X- I-O O
such -X- I-O O
as -X- I-O O
`%USERNAME%` -X- I-O B-PATH
and -X- I-O O
`$USER`, -X- I-O B-PATH
may -X- I-O O
also -X- I-O O
be -X- I-O O
used -X- I-O O
to -X- I-O O
access -X- I-O O
this -X- I-O O
information. -X- I-O O

An -X- I-O O
adversary -X- I-O B-PER
may -X- I-O O
exfiltrate -X- I-O O
data -X- I-O O
in -X- I-O O
fixed -X- I-O O
size -X- I-O O
chunks -X- I-O O
instead -X- I-O O
of -X- I-O O
whole -X- I-O O
files -X- I-O O
or -X- I-O O
limit -X- I-O O
packet -X- I-O O
sizes -X- I-O O
below -X- I-O O
certain -X- I-O O
thresholds. -X- I-O O
This -X- I-O O
approach -X- I-O O
may -X- I-O O
be -X- I-O O
used -X- I-O O
to -X- I-O O
avoid -X- I-O O
triggering -X- I-O O
network -X- I-O O
data -X- I-O O
transfer -X- I-O O
threshold -X- I-O O
alerts. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
schedule -X- I-O O
data -X- I-O O
exfiltration -X- I-O O
to -X- I-O O
be -X- I-O O
performed -X- I-O O
only -X- I-O O
at -X- I-O O
certain -X- I-O O
times -X- I-O O
of -X- I-O O
day -X- I-O O
or -X- I-O O
at -X- I-O O
certain -X- I-O O
intervals. -X- I-O O
This -X- I-O O
could -X- I-O O
be -X- I-O O
done -X- I-O O
to -X- I-O O
blend -X- I-O O
traffic -X- I-O O
patterns -X- I-O O
with -X- I-O O
normal -X- I-O O
activity -X- I-O O
or -X- I-O O
availability. -X- I-O O
When -X- I-O O
scheduled -X- I-O O
exfiltration -X- I-O O
is -X- I-O O
used, -X- I-O O
other -X- I-O O
exfiltration -X- I-O O
techniques -X- I-O O
likely -X- I-O O
apply -X- I-O O
as -X- I-O O
well -X- I-O O
to -X- I-O O
transfer -X- I-O O
the -X- I-O O
information -X- I-O O
out -X- I-O O
of -X- I-O O
the -X- I-O O
network, -X- I-O O
such -X- I-O O
as -X- I-O O
[Exfiltration -X- I-O O
Over -X- I-O O
C2 -X- I-O B-EXPLOITS
Channel](T1041) -X- I-O I-EXPLOITS
or -X- I-O O
[Exfiltration -X- I-O O
Over -X- I-O O
Alternative -X- I-O O
Protocol](T1048). -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
remove -X- I-O O
indicators -X- I-O O
from -X- I-O O
tools -X- I-O O
if -X- I-O O
they -X- I-O O
believe -X- I-O O
their -X- I-O O
malicious -X- I-O O
tool -X- I-O O
was -X- I-O O
detected, -X- I-O O
quarantined, -X- I-O O
or -X- I-O O
otherwise -X- I-O O
curtailed. -X- I-O O
They -X- I-O O
can -X- I-O O
modify -X- I-O O
the -X- I-O O
tool -X- I-O O
by -X- I-O O
removing -X- I-O O
the -X- I-O O
indicator -X- I-O O
and -X- I-O O
using -X- I-O O
the -X- I-O O
updated -X- I-O O
version -X- I-O O
that -X- I-O O
is -X- I-O O
no -X- I-O O
longer -X- I-O O
detected -X- I-O O
by -X- I-O O
the -X- I-O O
target's -X- I-O O
defensive -X- I-O O
systems -X- I-O O
or -X- I-O O
subsequent -X- I-O O
targets -X- I-O O
that -X- I-O O
may -X- I-O O
use -X- I-O O
similar -X- I-O O
systems. -X- I-O O
A -X- I-O O
good -X- I-O O
example -X- I-O O
of -X- I-O O
this -X- I-O O
is -X- I-O O
when -X- I-O O
malware -X- I-O B-MALWARE
is -X- I-O O
detected -X- I-O O
with -X- I-O O
a -X- I-O O
file -X- I-O O
signature -X- I-O O
and -X- I-O O
quarantined -X- I-O O
by -X- I-O O
anti-virus -X- I-O O
software. -X- I-O O
An -X- I-O O
adversary -X- I-O O
who -X- I-O O
can -X- I-O O
determine -X- I-O O
that -X- I-O O
the -X- I-O O
malware -X- I-O O
was -X- I-O O
quarantined -X- I-O O
because -X- I-O O
of -X- I-O O
its -X- I-O O
file -X- I-O O
signature -X- I-O O
may -X- I-O O
modify -X- I-O O
the -X- I-O O
file -X- I-O O
to -X- I-O O
explicitly -X- I-O O
avoid -X- I-O O
that -X- I-O O
signature, -X- I-O O
and -X- I-O O
then -X- I-O O
re-use -X- I-O O
the -X- I-O O
malware. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
attempt -X- I-O O
to -X- I-O O
make -X- I-O O
payloads -X- I-O B-EXPLOITS
difficult -X- I-O O
to -X- I-O O
discover -X- I-O O
and -X- I-O O
analyze -X- I-O O
by -X- I-O O
delivering -X- I-O O
files -X- I-O O
to -X- I-O O
victims -X- I-O O
as -X- I-O O
uncompiled -X- I-O O
code. -X- I-O O
Text-based -X- I-O O
source -X- I-O O
code -X- I-O O
files -X- I-O O
may -X- I-O O
subvert -X- I-O O
analysis -X- I-O O
and -X- I-O O
scrutiny -X- I-O O
from -X- I-O O
protections -X- I-O O
targeting -X- I-O O
executables/binaries. -X- I-O O
These -X- I-O O
payloads -X- I-O O
will -X- I-O O
need -X- I-O O
to -X- I-O O
be -X- I-O O
compiled -X- I-O O
before -X- I-O O
execution; -X- I-O O
typically -X- I-O O
via -X- I-O O
native -X- I-O O
utilities -X- I-O O
such -X- I-O O
as -X- I-O O
csc.exe -X- I-O O
or -X- I-O O
GCC/MinGW.(Citation: -X- I-O O
ClearSky -X- I-O B-ORG
MuddyWater -X- I-O B-ORG
Nov -X- I-O O
2018) -X- I-O O
Source -X- I-O O
code -X- I-O O
payloads -X- I-O B-EXPLOITS
may -X- I-O O
also -X- I-O O
be -X- I-O O
encrypted, -X- I-O O
encoded, -X- I-O O
and/or -X- I-O O
embedded -X- I-O O
within -X- I-O O
other -X- I-O O
files, -X- I-O O
such -X- I-O O
as -X- I-O O
those -X- I-O O
delivered -X- I-O O
as -X- I-O O
a -X- I-O O
[Phishing](T1566). -X- I-O B-MALWARE
Payloads -X- I-O O
may -X- I-O O
also -X- I-O O
be -X- I-O O
delivered -X- I-O O
in -X- I-O O
formats -X- I-O O
unrecognizable -X- I-O O
and -X- I-O O
inherently -X- I-O O
benign -X- I-O O
to -X- I-O O
the -X- I-O O
native -X- I-O O
OS -X- I-O O
(ex: -X- I-O O
EXEs -X- I-O O
on -X- I-O O
macOS/Linux) -X- I-O B-DEVICES
before -X- I-O O
later -X- I-O O
being -X- I-O O
(re)compiled -X- I-O O
into -X- I-O O
a -X- I-O O
proper -X- I-O O
executable -X- I-O O
binary -X- I-O O
with -X- I-O O
a -X- I-O O
bundled -X- I-O O
compiler -X- I-O O
and -X- I-O O
execution -X- I-O O
framework.(Citation: -X- I-O O
TrendMicro -X- I-O O
WindowsAppMac) -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
perform -X- I-O O
software -X- I-O O
packing -X- I-O O
or -X- I-O O
virtual -X- I-O O
machine -X- I-O O
software -X- I-O O
protection -X- I-O O
to -X- I-O O
conceal -X- I-O O
their -X- I-O O
code. -X- I-O O
Software -X- I-O O
packing -X- I-O O
is -X- I-O O
a -X- I-O O
method -X- I-O O
of -X- I-O O
compressing -X- I-O O
or -X- I-O O
encrypting -X- I-O O
an -X- I-O O
executable. -X- I-O O
Packing -X- I-O O
an -X- I-O O
executable -X- I-O O
changes -X- I-O O
the -X- I-O O
file -X- I-O O
signature -X- I-O O
in -X- I-O O
an -X- I-O O
attempt -X- I-O O
to -X- I-O O
avoid -X- I-O O
signature-based -X- I-O O
detection. -X- I-O O
Most -X- I-O O
decompression -X- I-O O
techniques -X- I-O O
decompress -X- I-O O
the -X- I-O O
executable -X- I-O O
code -X- I-O O
in -X- I-O O
memory. -X- I-O O
Virtual -X- I-O O
machine -X- I-O O
software -X- I-O O
protection -X- I-O O
translates -X- I-O O
an -X- I-O O
executable's -X- I-O O
original -X- I-O O
code -X- I-O O
into -X- I-O O
a -X- I-O O
special -X- I-O O
format -X- I-O O
that -X- I-O O
only -X- I-O O
a -X- I-O O
special -X- I-O O
virtual -X- I-O O
machine -X- I-O O
can -X- I-O O
run. -X- I-O O
A -X- I-O O
virtual -X- I-O O
machine -X- I-O O
is -X- I-O O
then -X- I-O O
called -X- I-O O
to -X- I-O O
run -X- I-O O
this -X- I-O O
code.(Citation: -X- I-O O
ESET -X- I-O B-ORG
FinFisher -X- I-O B-MALWARE
Jan -X- I-O O
2018) -X- I-O O
Utilities -X- I-O O
used -X- I-O O
to -X- I-O O
perform -X- I-O O
software -X- I-O O
packing -X- I-O O
are -X- I-O O
called -X- I-O O
packers. -X- I-O O
Example -X- I-O O
packers -X- I-O O
are -X- I-O O
MPRESS -X- I-O O
and -X- I-O O
UPX. -X- I-O O
A -X- I-O O
more -X- I-O O
comprehensive -X- I-O O
list -X- I-O O
of -X- I-O O
known -X- I-O O
packers -X- I-O O
is -X- I-O O
available, -X- I-O O
(Citation: -X- I-O O
Wikipedia -X- I-O B-ORG
Exe -X- I-O O
Compression) -X- I-O O
but -X- I-O O
adversaries -X- I-O O
may -X- I-O O
create -X- I-O O
their -X- I-O O
own -X- I-O O
packing -X- I-O O
techniques -X- I-O O
that -X- I-O O
do -X- I-O O
not -X- I-O O
leave -X- I-O O
the -X- I-O O
same -X- I-O O
artifacts -X- I-O O
as -X- I-O O
well-known -X- I-O O
packers -X- I-O O
to -X- I-O O
evade -X- I-O O
defenses. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
use -X- I-O O
[Valid -X- I-O O
Accounts](T1078) -X- I-O O
to -X- I-O O
interact -X- I-O O
with -X- I-O O
remote -X- I-O O
systems -X- I-O O
using -X- I-O O
Windows -X- I-O O
Remote -X- I-O O
Management -X- I-O O
(WinRM). -X- I-O O
The -X- I-O O
adversary -X- I-O O
may -X- I-O O
then -X- I-O O
perform -X- I-O O
actions -X- I-O O
as -X- I-O O
the -X- I-O O
logged-on -X- I-O O
user. -X- I-O O
WinRM -X- I-O O
is -X- I-O O
the -X- I-O O
name -X- I-O O
of -X- I-O O
both -X- I-O O
a -X- I-O O
Windows -X- I-O B-DEVICES
service -X- I-O O
and -X- I-O O
a -X- I-O O
protocol -X- I-O O
that -X- I-O O
allows -X- I-O O
a -X- I-O O
user -X- I-O O
to -X- I-O O
interact -X- I-O O
with -X- I-O O
a -X- I-O O
remote -X- I-O O
system -X- I-O O
(e.g., -X- I-O O
run -X- I-O O
an -X- I-O O
executable, -X- I-O O
modify -X- I-O O
the -X- I-O O
Registry, -X- I-O O
modify -X- I-O O
services).(Citation: -X- I-O O
Microsoft -X- I-O B-VENDOR
WinRM) -X- I-O O
It -X- I-O O
may -X- I-O O
be -X- I-O O
called -X- I-O O
with -X- I-O O
the -X- I-O O
`winrm` -X- I-O B-COMMANDS
command -X- I-O O
or -X- I-O O
by -X- I-O O
any -X- I-O O
number -X- I-O O
of -X- I-O O
programs -X- I-O O
such -X- I-O O
as -X- I-O O
PowerShell.(Citation: -X- I-O O
Jacobsen -X- I-O O
2014) -X- I-O O
WinRM -X- I-O B-COMMANDS
can -X- I-O O
be -X- I-O O
used -X- I-O O
as -X- I-O O
a -X- I-O O
method -X- I-O O
of -X- I-O O
remotely -X- I-O O
interacting -X- I-O O
with -X- I-O O
[Windows -X- I-O B-DEVICES
Management -X- I-O O
Instrumentation](T1047).(Citation: -X- I-O O
MSDN -X- I-O B-ORG
WMI) -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
search -X- I-O O
connected -X- I-O O
removable -X- I-O O
media -X- I-O O
on -X- I-O O
computers -X- I-O O
they -X- I-O O
have -X- I-O O
compromised -X- I-O O
to -X- I-O O
find -X- I-O O
files -X- I-O O
of -X- I-O O
interest. -X- I-O O
Sensitive -X- I-O O
data -X- I-O O
can -X- I-O O
be -X- I-O O
collected -X- I-O O
from -X- I-O O
any -X- I-O O
removable -X- I-O O
media -X- I-O O
(optical -X- I-O O
disk -X- I-O O
drive, -X- I-O O
USB -X- I-O O
memory, -X- I-O O
etc.) -X- I-O O
connected -X- I-O O
to -X- I-O O
the -X- I-O O
compromised -X- I-O O
system -X- I-O O
prior -X- I-O O
to -X- I-O O
Exfiltration. -X- I-O B-EXPLOITS
Interactive -X- I-O O
command -X- I-O O
shells -X- I-O O
may -X- I-O O
be -X- I-O O
in -X- I-O O
use, -X- I-O O
and -X- I-O O
common -X- I-O O
functionality -X- I-O O
within -X- I-O O
[cmd](S0106) -X- I-O O
may -X- I-O O
be -X- I-O O
used -X- I-O O
to -X- I-O O
gather -X- I-O O
information. -X- I-O O
Some -X- I-O O
adversaries -X- I-O B-PER
may -X- I-O O
also -X- I-O O
use -X- I-O O
[Automated -X- I-O O
Collection](T1119) -X- I-O O
on -X- I-O O
removable -X- I-O O
media. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
use -X- I-O O
[Valid -X- I-O O
Accounts](T1078) -X- I-O O
to -X- I-O O
log -X- I-O O
into -X- I-O O
remote -X- I-O B-NETWORK
machines -X- I-O I-NETWORK
using -X- I-O O
Secure -X- I-O O
Shell -X- I-O O
(SSH). -X- I-O B-COMMANDS
The -X- I-O O
adversary -X- I-O O
may -X- I-O O
then -X- I-O O
perform -X- I-O O
actions -X- I-O O
as -X- I-O O
the -X- I-O O
logged-on -X- I-O O
user. -X- I-O O
SSH -X- I-O O
is -X- I-O O
a -X- I-O O
protocol -X- I-O O
that -X- I-O O
allows -X- I-O O
authorized -X- I-O O
users -X- I-O O
to -X- I-O O
open -X- I-O O
remote -X- I-O O
shells -X- I-O O
on -X- I-O O
other -X- I-O O
computers. -X- I-O O
Many -X- I-O O
Linux -X- I-O B-DEVICES
and -X- I-O O
macOS -X- I-O B-DEVICES
versions -X- I-O O
come -X- I-O O
with -X- I-O O
SSH -X- I-O O
installed -X- I-O O
by -X- I-O O
default, -X- I-O O
although -X- I-O O
typically -X- I-O O
disabled -X- I-O O
until -X- I-O O
the -X- I-O O
user -X- I-O B-PER
enables -X- I-O O
it. -X- I-O O
The -X- I-O O
SSH -X- I-O O
server -X- I-O O
can -X- I-O O
be -X- I-O O
configured -X- I-O O
to -X- I-O O
use -X- I-O O
standard -X- I-O O
password -X- I-O O
authentication -X- I-O O
or -X- I-O O
public-private -X- I-O O
keypairs -X- I-O O
in -X- I-O O
lieu -X- I-O O
of -X- I-O O
or -X- I-O O
in -X- I-O O
addition -X- I-O O
to -X- I-O O
a -X- I-O O
password. -X- I-O O
In -X- I-O O
this -X- I-O O
authentication -X- I-O O
scenario, -X- I-O O
the -X- I-O O
userâ€™s -X- I-O O
public -X- I-O O
key -X- I-O O
must -X- I-O O
be -X- I-O O
in -X- I-O O
a -X- I-O O
special -X- I-O O
file -X- I-O O
on -X- I-O O
the -X- I-O O
computer -X- I-O O
running -X- I-O O
the -X- I-O O
server -X- I-O O
that -X- I-O O
lists -X- I-O O
which -X- I-O O
keypairs -X- I-O O
are -X- I-O O
allowed -X- I-O O
to -X- I-O O
login -X- I-O O
as -X- I-O O
that -X- I-O O
user. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
use -X- I-O O
[Valid -X- I-O O
Accounts](T1078) -X- I-O O
to -X- I-O O
interact -X- I-O O
with -X- I-O O
remote -X- I-O B-NETWORK
machines -X- I-O I-NETWORK
by -X- I-O O
taking -X- I-O O
advantage -X- I-O O
of -X- I-O O
Distributed -X- I-O B-NETWORK
Component -X- I-O I-NETWORK
Object -X- I-O I-NETWORK
Model -X- I-O I-NETWORK
(DCOM). -X- I-O O
The -X- I-O O
adversary -X- I-O O
may -X- I-O O
then -X- I-O O
perform -X- I-O O
actions -X- I-O O
as -X- I-O O
the -X- I-O O
logged-on -X- I-O O
user. -X- I-O B-PER
The -X- I-O O
Windows -X- I-O B-DEVICES
Component -X- I-O O
Object -X- I-O O
Model -X- I-O O
(COM) -X- I-O O
is -X- I-O O
a -X- I-O O
component -X- I-O O
of -X- I-O O
the -X- I-O O
native -X- I-O O
Windows -X- I-O O
application -X- I-O O
programming -X- I-O O
interface -X- I-O O
(API) -X- I-O O
that -X- I-O O
enables -X- I-O O
interaction -X- I-O O
between -X- I-O O
software -X- I-O O
objects, -X- I-O O
or -X- I-O O
executable -X- I-O O
code -X- I-O O
that -X- I-O O
implements -X- I-O O
one -X- I-O O
or -X- I-O O
more -X- I-O O
interfaces. -X- I-O O
Through -X- I-O O
COM, -X- I-O O
a -X- I-O O
client -X- I-O B-PER
object -X- I-O O
can -X- I-O O
call -X- I-O O
methods -X- I-O O
of -X- I-O O
server -X- I-O O
objects, -X- I-O O
which -X- I-O O
are -X- I-O O
typically -X- I-O O
Dynamic -X- I-O O
Link -X- I-O O
Libraries -X- I-O O
(DLL) -X- I-O O
or -X- I-O O
executables -X- I-O O
(EXE). -X- I-O O
Distributed -X- I-O O
COM -X- I-O O
(DCOM) -X- I-O O
is -X- I-O O
transparent -X- I-O O
middleware -X- I-O O
that -X- I-O O
extends -X- I-O O
the -X- I-O O
functionality -X- I-O O
of -X- I-O O
COM -X- I-O O
beyond -X- I-O O
a -X- I-O O
local -X- I-O O
computer -X- I-O O
using -X- I-O O
remote -X- I-O O
procedure -X- I-O O
call -X- I-O O
(RPC) -X- I-O O
technology.(Citation: -X- I-O O
Fireeye -X- I-O O
Hunting -X- I-O O
COM -X- I-O O
June -X- I-O O
2019)(Citation: -X- I-O O
Microsoft -X- I-O B-VENDOR
COM) -X- I-O O
Permissions -X- I-O O
to -X- I-O O
interact -X- I-O O
with -X- I-O O
local -X- I-O O
and -X- I-O B-NETWORK
remote -X- I-O I-NETWORK
server -X- I-O I-NETWORK
COM -X- I-O O
objects -X- I-O O
are -X- I-O O
specified -X- I-O O
by -X- I-O O
access -X- I-O B-NETWORK
control -X- I-O I-NETWORK
lists -X- I-O I-NETWORK
(ACL) -X- I-O O
in -X- I-O O
the -X- I-O O
Registry.(Citation: -X- I-O O
Microsoft -X- I-O B-VENDOR
Process -X- I-O O
Wide -X- I-O O
Com -X- I-O O
Keys) -X- I-O O
By -X- I-O O
default, -X- I-O O
only -X- I-O O
Administrators -X- I-O O
may -X- I-O O
remotely -X- I-O O
activate -X- I-O O
and -X- I-O O
launch -X- I-O O
COM -X- I-O O
objects -X- I-O O
through -X- I-O O
DCOM.(Citation: -X- I-O O
Microsoft -X- I-O B-VENDOR
COM -X- I-O O
ACL) -X- I-O O
Through -X- I-O O
DCOM, -X- I-O O
adversaries -X- I-O O
operating -X- I-O O
in -X- I-O O
the -X- I-O O
context -X- I-O O
of -X- I-O O
an -X- I-O O
appropriately -X- I-O O
privileged -X- I-O O
user -X- I-O O
can -X- I-O O
remotely -X- I-O O
obtain -X- I-O O
arbitrary -X- I-O O
and -X- I-O O
even -X- I-O O
direct -X- I-O O
shellcode -X- I-O B-EXPLOITS
execution -X- I-O I-EXPLOITS
through -X- I-O O
Office -X- I-O O
applications(Citation: -X- I-O O
Enigma -X- I-O O
Outlook -X- I-O O
DCOM -X- I-O O
Lateral -X- I-O O
Movement -X- I-O O
Nov -X- I-O O
2017) -X- I-O O
as -X- I-O O
well -X- I-O O
as -X- I-O O
other -X- I-O O
Windows -X- I-O O
objects -X- I-O O
that -X- I-O O
contain -X- I-O O
insecure -X- I-O O
methods.(Citation: -X- I-O O
Enigma -X- I-O O
MMC20 -X- I-O O
COM -X- I-O O
Jan -X- I-O O
2017)(Citation: -X- I-O O
Enigma -X- I-O O
DCOM -X- I-O O
Lateral -X- I-O O
Movement -X- I-O O
Jan -X- I-O O
2017) -X- I-O O
DCOM -X- I-O O
can -X- I-O O
also -X- I-O O
execute -X- I-O O
macros -X- I-O O
in -X- I-O O
existing -X- I-O O
documents(Citation: -X- I-O O
Enigma -X- I-O O
Excel -X- I-O O
DCOM -X- I-O O
Sept -X- I-O O
2017) -X- I-O O
and -X- I-O O
may -X- I-O O
also -X- I-O O
invoke -X- I-O O
[Dynamic -X- I-O O
Data -X- I-O O
Exchange](T1559.002) -X- I-O O
(DDE) -X- I-O O
execution -X- I-O O
directly -X- I-O O
through -X- I-O O
a -X- I-O O
COM -X- I-O O
created -X- I-O O
instance -X- I-O O
of -X- I-O O
a -X- I-O O
Microsoft -X- I-O O
Office -X- I-O O
application(Citation: -X- I-O O
Cyberreason -X- I-O O
DCOM -X- I-O O
DDE -X- I-O O
Lateral -X- I-O O
Movement -X- I-O O
Nov -X- I-O O
2017), -X- I-O O
bypassing -X- I-O O
the -X- I-O O
need -X- I-O O
for -X- I-O O
a -X- I-O O
malicious -X- I-O O
document. -X- I-O O
DCOM -X- I-O O
can -X- I-O O
be -X- I-O O
used -X- I-O O
as -X- I-O O
a -X- I-O O
method -X- I-O O
of -X- I-O O
remotely -X- I-O O
interacting -X- I-O O
with -X- I-O O
[Windows -X- I-O O
Management -X- I-O O
Instrumentation](T1047). -X- I-O O
(Citation: -X- I-O O
MSDN -X- I-O O
WMI) -X- I-O O

Microsoft -X- I-O B-VENDOR
has -X- I-O O
discovered -X- I-O O
a -X- I-O O
new -X- I-O O
malware -X- I-O O
used -X- I-O O
by -X- I-O O
the -X- I-O O
Chinese-backed -X- I-O O
Hafnium -X- I-O B-ORG
hacking -X- I-O O
group -X- I-O O
to -X- I-O O
maintain -X- I-O O
persistence -X- I-O O
on -X- I-O O
compromised -X- I-O O
Windows -X- I-O B-DEVICES
systems -X- I-O O
by -X- I-O O
creating -X- I-O O
and -X- I-O O
hiding -X- I-O O
scheduled -X- I-O O
tasks. -X- I-O O
The -X- I-O O
Hafnium -X- I-O B-ORG
threat -X- I-O O
group -X- I-O O
has -X- I-O O
previously -X- I-O O
targeted -X- I-O O
US -X- I-O B-LOC
defense -X- I-O O
companies, -X- I-O O
think -X- I-O O
tanks, -X- I-O O
and -X- I-O O
researchers -X- I-O O
in -X- I-O O
cyberespionage -X- I-O O
attacks. -X- I-O O
It -X- I-O O
is -X- I-O O
also -X- I-O O
one -X- I-O O
of -X- I-O O
the -X- I-O O
state-sponsored -X- I-O O
groups -X- I-O O
linked -X- I-O O
by -X- I-O O
Microsoft -X- I-O O
to -X- I-O O
last -X- I-O O
year's -X- I-O O
global -X- I-O O
scale -X- I-O O
exploitation -X- I-O O
of -X- I-O O
the -X- I-O O
ProxyLogon -X- I-O B-EXPLOITS
zero-day -X- I-O O
flaws -X- I-O O
impacting -X- I-O O
all -X- I-O O
supported -X- I-O O
Microsoft -X- I-O O
Exchange -X- I-O O
versions. -X- I-O O

Threat -X- I-O O
actors -X- I-O O
have -X- I-O O
launched -X- I-O O
the -X- I-O O
'Eternity -X- I-O B-MALWARE
Project,' -X- I-O I-MALWARE
a -X- I-O O
new -X- I-O O
malware-as-a-service -X- I-O O
where -X- I-O O
threat -X- I-O O
actors -X- I-O O
can -X- I-O O
purchase -X- I-O O
a -X- I-O O
malware -X- I-O O
toolkit -X- I-O O
that -X- I-O O
can -X- I-O O
be -X- I-O O
customized -X- I-O O
with -X- I-O O
different -X- I-O O
modules -X- I-O O
depending -X- I-O O
on -X- I-O O
the -X- I-O O
attack -X- I-O O
being -X- I-O O
conducted. -X- I-O O
The -X- I-O O
malware -X- I-O O
toolkit -X- I-O O
is -X- I-O O
modular -X- I-O O
and -X- I-O O
can -X- I-O O
include -X- I-O O
an -X- I-O O
info-stealer, -X- I-O B-MALWARE
a -X- I-O O
coin -X- I-O B-MALWARE
miner, -X- I-O I-MALWARE
a -X- I-O O
clipper, -X- I-O O
a -X- I-O O
ransomware -X- I-O B-MALWARE
program, -X- I-O I-MALWARE
a -X- I-O O
worm -X- I-O B-MALWARE
spreader, -X- I-O I-MALWARE
and -X- I-O O
soon, -X- I-O O
